text,neutral,positive,negative,compound,Sentiment
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
iitgn host international workshop unsettling archaeology scholars india abroad discuss rel ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
entrance exam duration fees structure engineering 2 years 500 rs month medical 2 years 500 rs m ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
students indian institute technology hyderabad taking part transient hydraulic tomography proje ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
